  WARN root [2018-05-27 11:15:32,653] - ThreadPool::destroy(): waiting for thread(2)[0x63f728,0x63f6c0,], try=1
 DEBUG root [2018-05-27 11:15:33,053] - TPThread::~TPThread(): 0x63f728
 DEBUG root [2018-05-27 11:15:33,054] - TPThread::~TPThread(): 0x63f6c0
 DEBUG root [2018-05-27 11:15:33,054] - ThreadPool::destroy(): successfully!
 DEBUG root [2018-05-27 11:15:33,103] - Bundle::destroyObjPool(): size 10.
 DEBUG root [2018-05-27 11:15:33,103] - Channel::destroyObjPool(): size 0.
 DEBUG root [2018-05-27 11:15:33,103] - TCPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-27 11:15:33,103] - UDPPacket::destroyObjPool(): size 0.
 DEBUG root [2018-05-27 11:15:33,104] - EndPoint::destroyObjPool(): size 0.
 DEBUG root [2018-05-27 11:15:33,104] - Address::destroyObjPool(): size 0.
 DEBUG root [2018-05-27 11:15:33,104] - TCPPacketReceiver::destroyObjPool(): size 0.
 DEBUG root [2018-05-27 11:15:33,104] - UDPPacketReceiver::destroyObjPool(): size 0.
  INFO root [2018-05-27 11:15:33,104] - tool(0) has shut down. ClientSDK=1
  INFO root [2018-05-27 11:15:34,105] - EventDispatcher()::~EventDispatcher: Num timers = 2
  INFO root [2018-06-03 13:30:00,704] - 
  INFO root [2018-06-03 13:30:00,716] - -----------------------------------------------------------------------------------------


  INFO root [2018-06-03 13:30:00,730] - Resmgr::initialize: KBE_ROOT=E:/kbengine/
  INFO root [2018-06-03 13:30:00,730] - Resmgr::initialize: KBE_RES_PATH=E:/kbengine/kbe/res/;E:/kbengine/assets/;E:/kbengine/assets/scripts/;E:/kbengine/assets/res/
  INFO root [2018-06-03 13:30:00,731] - Resmgr::initialize: KBE_BIN_PATH=E:/kbengine/kbe/bin/server/
  INFO root [2018-06-03 13:30:00,762] - NetworkInterface::initialize(INTERNAL): bound to all interfaces with default route interface on 192.168.0.103 ( 192.168.0.103:64722 )
  INFO root [2018-06-03 13:30:00,769] - NetworkInterface::initialize(INTERNAL): address 192.168.0.103:64722, SOMAXCONN=5.
  INFO root [2018-06-03 13:30:00,782] - ---- tool Version: 2.0.0. ScriptVersion: 0.1.0. Protocol: F217117F928F68467C45B47BA31B1B8B. Config: Debug X86. Built: 23:53:49 May  8 2018. AppID: 0. UID: 4759. PID: 15692 ----
  INFO root [2018-06-03 13:30:00,782] - Server : Intel(R) Xeon(R) CPU E3-1230 v3 @ 3.30GHz with 4194303kB RAM
  INFO root [2018-06-03 13:30:00,783] - ThreadPool::createThreadPool: creating  threadpool...
  INFO root [2018-06-03 13:30:00,795] - ThreadPool::createThreadPool: successfully(2), newThreadCount=1, normalMaxThreadCount=2, maxThreadCount=8
 DEBUG root [2018-06-03 13:30:01,168] - Script::install_py_dlls(): PyInit_pyexpat
 DEBUG root [2018-06-03 13:30:01,182] - Script::install_py_dlls(): PyInit__socket
 DEBUG root [2018-06-03 13:30:01,187] - Script::install_py_dlls(): PyInit__ssl
 DEBUG root [2018-06-03 13:30:01,234] - Script::install_py_dlls(): PyInit__hashlib
 DEBUG root [2018-06-03 13:30:01,236] - Script::install_py_dlls(): PyInit_select
 DEBUG root [2018-06-03 13:30:01,236] - Script::install_py_dlls(): PyInit__ctypes
 DEBUG root [2018-06-03 13:30:01,237] - Script::install_py_dlls(): PyInit__elementtree
 DEBUG root [2018-06-03 13:30:01,370] - Script::install_py_dlls(): PyInit_unicodedata
  INFO root [2018-06-03 13:30:01,481] - Script::install(): is successfully, Python=(3.4.2 (default, May  8 2018, 23:53:43) [MSC v.1913 32 bit (Intel)])!
  INFO root [2018-06-03 13:30:01,482] - Script::install(): KBExtra is successfully!
 DEBUG root [2018-06-03 13:30:02,196] - ClientSDK::writeServerErrorDescrsModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//ServerErrorDescrs.cs
 DEBUG root [2018-06-03 13:30:02,197] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/ServerErrorDescrs.cs
 DEBUG root [2018-06-03 13:30:02,197] - ClientSDK::writeEngineMessagesModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Messages.cs
 DEBUG root [2018-06-03 13:30:02,229] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/Messages.cs
 DEBUG root [2018-06-03 13:30:02,230] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/KBETypes.cs
 DEBUG root [2018-06-03 13:30:02,231] - ClientSDK::writeEntityDefsModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//EntityDef.cs
 DEBUG root [2018-06-03 13:30:02,233] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/EntityDef.cs
 DEBUG root [2018-06-03 13:30:02,233] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/CustomDataTypes.cs
 DEBUG root [2018-06-03 13:30:02,234] - ClientSDK::writeEntityModule(): D:\MJ_client\MJClient\Assets\Script\usdSDK//Account
 DEBUG root [2018-06-03 13:30:02,249] - ClientSDK::saveFile(): D:\MJ_client\MJClient\Assets\Script\usdSDK/AccountBase.cs
